,number,value,datetime_start,datetime_complete,duration,params_L,params_N_D,params_W,params_coef,params_lr,params_sampling,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,system_attrs_completed_rung_5,system_attrs_completed_rung_6,system_attrs_completed_rung_7,state
32,32,0.1554726528453661,2024-04-02 02:36:33.641039,2024-04-02 02:37:23.041868,0 days 00:00:49.400829,2,240,64,0.4025184068674912,0.005755379893328038,grid,2.4239414354699993,2.4239414354699993,2.4239414354699993,2.4239414354699993,2.4239414354699993,2.4239414354699993,1.1944808109358205,0.2056622414783139,COMPLETE
33,33,2.5392003510243524,2024-04-02 02:37:23.042868,2024-04-02 02:37:27.644047,0 days 00:00:04.601179,2,255,64,0.4185658888329236,0.007652324442260356,grid,2.5392003510243524,2.5392003510243524,2.5392003510243524,,,,,,PRUNED
34,34,3.6138049508928103,2024-04-02 02:37:27.645049,2024-04-02 02:37:32.178165,0 days 00:00:04.533116,2,222,64,0.27675868279521565,0.0172116665345732,grid,3.6138049508928103,3.6138049508928103,,,,,,,PRUNED
35,35,0.38249375432759747,2024-04-02 02:37:32.179166,2024-04-02 02:38:17.823615,0 days 00:00:45.644449,2,483,64,0.3534019532852535,0.03470450921883584,grid,4.118907065837181,4.118907065837181,4.118907065837181,4.118907065837181,4.118907065837181,3.9533190712255326,1.3236616184230479,,COMPLETE
36,36,21.09355711769758,2024-04-02 02:38:17.824617,2024-04-02 02:38:23.031349,0 days 00:00:05.206732,2,484,64,0.3456585377057397,0.15223425154666828,grid,21.09355711769758,,,,,,,,PRUNED
37,37,21.202173505084858,2024-04-02 02:38:23.032348,2024-04-02 02:38:27.539681,0 days 00:00:04.507333,2,651,64,0.051107340047044314,0.955503337046955,grid,21.202173505084858,,,,,,,,PRUNED
38,38,0.5337966801384656,2024-04-02 02:38:27.539681,2024-04-02 02:39:18.257949,0 days 00:00:50.718268,2,829,64,0.24442951430948787,0.03325188957376098,grid,2.3297907577682255,2.3297907577682255,2.3297907577682255,2.3297907577682255,1.7398786752581112,0.36847839925005926,,,COMPLETE
39,39,21.077432224911636,2024-04-02 02:39:18.258949,2024-04-02 02:40:09.581741,0 days 00:00:51.322792,2,435,64,0.3805058813145113,0.1266868428500301,grid,21.077525878993278,,,,,,,,COMPLETE
40,40,9.311627698745413,2024-04-02 02:40:09.582742,2024-04-02 02:40:14.887466,0 days 00:00:05.304724,2,329,64,0.14786803013936178,0.0653252979221436,grid,9.311627698745413,,,,,,,,PRUNED
41,41,4.244893243127523,2024-04-02 02:40:14.889472,2024-04-02 02:40:25.536778,0 days 00:00:10.647306,2,1073,64,0.23917211045089953,0.033797341911832535,grid,4.063986698638265,4.063986698638265,4.063986698638265,4.063986698638265,4.063986698638265,4.244893243127523,,,PRUNED
42,42,1.2438469568931256,2024-04-02 02:40:25.537779,2024-04-02 02:41:18.164914,0 days 00:00:52.627135,2,972,64,0.3530031988508813,0.026004121454283723,grid,2.4008842165719817,2.4008842165719817,2.4008842165719817,2.4008842165719817,2.4008842165719817,2.4008842165719817,1.1277669844051392,0.34958237861170677,COMPLETE
43,43,2.9300285487874866,2024-04-02 02:41:18.166916,2024-04-02 02:41:23.277666,0 days 00:00:05.110750,2,778,64,0.26310989909107146,0.005917371310897032,grid,2.9300285487874866,2.9300285487874866,,,,,,,PRUNED
44,44,5.0672630003444485,2024-04-02 02:41:23.278667,2024-04-02 02:41:28.375366,0 days 00:00:05.096699,2,1272,64,0.329895992796443,0.04196163995389803,grid,5.0672630003444485,5.0672630003444485,,,,,,,PRUNED
45,45,21.05012314221029,2024-04-02 02:41:28.376365,2024-04-02 02:41:33.722040,0 days 00:00:05.345675,2,1969,64,0.4373065358733403,0.09362032648172047,grid,21.05012314221029,,,,,,,,PRUNED
46,46,2.561456382270636,2024-04-02 02:41:33.723041,2024-04-02 02:41:38.916972,0 days 00:00:05.193931,2,186,64,0.5372363178870367,0.014610634768900444,grid,2.561456382270636,2.561456382270636,2.561456382270636,,,,,,PRUNED
47,47,21.03591705120376,2024-04-02 02:41:38.917973,2024-04-02 02:41:44.472606,0 days 00:00:05.554633,2,579,64,0.46582727163877985,0.31920923626112047,grid,21.03591705120376,,,,,,,,PRUNED
48,48,0.1276204798138662,2024-04-02 02:41:44.473607,2024-04-02 02:42:36.450432,0 days 00:00:51.976825,2,837,64,0.3756767972240404,0.003591132391353276,grid,3.3628165827341903,3.3628165827341903,3.3628165827341903,3.3628165827341903,3.3628165827341903,1.6168458328925523,0.5204118260543827,,COMPLETE
49,49,4.017625840887448,2024-04-02 02:42:36.451431,2024-04-02 02:42:51.074355,0 days 00:00:14.622924,8,236,64,0.378685673974232,0.004366539614896214,grid,4.017625840887448,,,,,,,,PRUNED
