,number,value,datetime_start,datetime_complete,duration,params_L,params_N_D,params_W,params_coef,params_initialization,params_lr,state
51,51,10.750786785541896,2024-04-04 12:24:03.901386,2024-04-04 12:24:44.389329,0 days 00:00:40.487943,8,5632,64,0.4165804014177505,default,0.002406280089511783,PRUNED
52,52,13.133852585752589,2024-04-04 12:24:44.390331,2024-04-04 12:24:54.384652,0 days 00:00:09.994321,8,2560,96,0.3765000084120925,default,0.0058767444256482984,PRUNED
53,53,14.010299542363402,2024-04-04 12:24:54.386654,2024-04-04 12:25:04.396599,0 days 00:00:10.009945,8,4608,64,0.5344629779269636,eye,0.0007348634722607252,PRUNED
54,54,54.20068906788627,2024-04-04 12:25:04.398601,2024-04-04 12:25:10.607907,0 days 00:00:06.209306,2,3584,64,0.45326010179509346,zeros,0.003054635742477367,PRUNED
55,55,10.128736682318275,2024-04-04 12:25:10.608907,2024-04-04 12:30:11.113838,0 days 00:05:00.504931,8,3072,96,0.32230533128755223,default,0.0014747570287733695,COMPLETE
56,56,14.198038433353876,2024-04-04 12:30:11.116888,2024-04-04 12:30:21.388188,0 days 00:00:10.271300,8,5120,64,0.5694316155447467,eye,0.00047241660241439606,PRUNED
57,57,14.435983436189728,2024-04-04 12:30:21.389189,2024-04-04 12:35:21.967954,0 days 00:05:00.578765,8,2560,128,0.6143862719920196,xavier,0.005490024049691778,COMPLETE
58,58,11.350855564919065,2024-04-04 12:35:21.968954,2024-04-04 12:35:32.161029,0 days 00:00:10.192075,8,3072,96,0.511925241615887,default,0.0019533027514830694,PRUNED
59,59,54.35327505069009,2024-04-04 12:35:32.162030,2024-04-04 12:35:42.478705,0 days 00:00:10.316675,8,4096,64,0.16181589517074024,kaiming,0.00029596201214501154,PRUNED
60,60,12.46465630249994,2024-04-04 12:35:42.479707,2024-04-04 12:35:50.363522,0 days 00:00:07.883815,4,2048,96,0.3976513185541899,eye,0.0012452025148861543,PRUNED
61,61,7.624902439195976,2024-04-04 12:35:50.364523,2024-04-04 12:40:55.156184,0 days 00:05:04.791661,8,2048,64,0.4828456149611984,xavier,0.0043484432852594615,COMPLETE
62,62,13.422057216229724,2024-04-04 12:40:55.158259,2024-04-04 12:45:55.931539,0 days 00:05:00.773280,8,2560,64,0.4278604497155963,xavier,0.007448880848137683,COMPLETE
63,63,7.67576968264369,2024-04-04 12:45:55.933542,2024-04-04 12:50:56.920771,0 days 00:05:00.987229,8,1536,64,0.4819805626729018,xavier,0.0037375076148897382,COMPLETE
64,64,13.085174524089346,2024-04-04 12:50:56.922773,2024-04-04 12:56:02.237888,0 days 00:05:05.315115,8,2048,64,0.3655206662240752,xavier,0.011474494603093103,COMPLETE
65,65,14.155929355024561,2024-04-04 12:56:02.238889,2024-04-04 12:56:12.313128,0 days 00:00:10.074239,8,3072,64,0.5615226629970764,zeros,0.0021768360863874785,PRUNED
66,66,5.7447344036397165,2024-04-04 12:56:12.314129,2024-04-04 13:01:14.296099,0 days 00:05:01.981970,8,1536,64,0.6150253194984754,xavier,0.003003791241153438,COMPLETE
67,67,13.438205680901369,2024-04-04 13:01:14.298102,2024-04-04 13:01:24.508378,0 days 00:00:10.210276,8,2560,96,0.43074697222637903,eye,0.0009205447574569444,PRUNED
68,68,54.28615160261204,2024-04-04 13:01:24.509379,2024-04-04 13:01:31.062515,0 days 00:00:06.553136,2,5632,64,0.45901307397951935,xavier,0.004684645295943486,PRUNED
69,69,9.765777835813083,2024-04-04 13:01:31.063514,2024-04-04 13:02:24.442224,0 days 00:00:53.378710,4,3584,96,0.5077656452769241,default,0.013611715952653678,PRUNED
70,70,54.31063944875088,2024-04-04 13:02:24.443224,2024-04-04 13:02:33.330494,0 days 00:00:08.887270,6,4608,64,0.34125967709953664,kaiming,0.00063611767885084,PRUNED
71,71,54.45338140391166,2024-04-04 13:02:33.331495,2024-04-04 13:02:43.467499,0 days 00:00:10.136004,8,1536,64,0.606376154615544,xavier,0.0030421798498404427,PRUNED
72,72,14.357423198571892,2024-04-04 13:02:43.469502,2024-04-04 13:07:51.354781,0 days 00:05:07.885279,8,2048,64,0.5974942823749462,xavier,0.00786386487413,COMPLETE
73,73,54.29487907832179,2024-04-04 13:07:51.356783,2024-04-04 13:08:01.677201,0 days 00:00:10.320418,8,1024,64,0.6371305041234013,xavier,0.0018810767370867735,PRUNED
74,74,0.8315027131934127,2024-04-04 13:08:01.678202,2024-04-04 13:13:02.406210,0 days 00:05:00.728008,8,1536,64,0.5570851904809616,xavier,0.003079886621428386,COMPLETE
75,75,54.28507799855467,2024-04-04 13:13:02.407210,2024-04-04 13:13:12.671620,0 days 00:00:10.264410,8,512,64,0.5462770236370244,xavier,0.001175304790041456,PRUNED
76,76,9.672241760030047,2024-04-04 13:13:12.672621,2024-04-04 13:18:15.550750,0 days 00:05:02.878129,8,2560,96,0.3969086478383599,xavier,0.0040724359410037715,COMPLETE
77,77,13.855392107680958,2024-04-04 13:18:15.552751,2024-04-04 13:18:25.959574,0 days 00:00:10.406823,8,2048,64,0.5060289112202498,eye,0.0017945678302878024,PRUNED
78,78,14.678394698824704,2024-04-04 13:18:25.960575,2024-04-04 13:18:36.190119,0 days 00:00:10.229544,8,1536,96,0.6617416285058638,zeros,0.002733048902924422,PRUNED
79,79,13.669699477926972,2024-04-04 13:18:36.191120,2024-04-04 13:18:46.289574,0 days 00:00:10.098454,8,3072,32,0.47232127381258826,default,0.006263081140396212,PRUNED
80,80,54.29951237609831,2024-04-04 13:18:46.290575,2024-04-04 13:18:55.541766,0 days 00:00:09.251191,6,1024,64,0.43443722137625046,xavier,0.0013920332748530739,PRUNED
81,81,9.026687847433736,2024-04-04 13:18:55.542767,2024-04-04 13:20:36.811720,0 days 00:01:41.268953,8,1536,64,0.7116527688029233,xavier,0.0033087698713143445,PRUNED
82,82,54.28464770662893,2024-04-04 13:20:36.812720,2024-04-04 13:20:47.037233,0 days 00:00:10.224513,8,1024,64,0.6835269743317137,xavier,0.0008997280665250121,PRUNED
83,83,54.290443796810465,2024-04-04 13:20:47.038234,2024-04-04 13:20:57.200026,0 days 00:00:10.161792,8,2048,64,0.6334693786272544,xavier,0.002178712199810151,PRUNED
84,84,14.260302570378839,2024-04-04 13:20:57.201028,2024-04-04 13:25:59.852265,0 days 00:05:02.651237,8,512,64,0.5818700217109856,xavier,0.004957115842923424,COMPLETE
85,85,0.7724452609584647,2024-04-04 13:25:59.855268,2024-04-04 13:31:00.715349,0 days 00:05:00.860081,8,1536,64,0.48594863845184755,xavier,0.002810822016635847,COMPLETE
86,86,13.975183600741673,2024-04-04 13:31:00.716349,2024-04-04 13:31:10.992329,0 days 00:00:10.275980,8,2560,96,0.5280063740218752,default,0.0014662806967038447,PRUNED
87,87,54.29028711958685,2024-04-04 13:31:10.993331,2024-04-04 13:31:18.832300,0 days 00:00:07.838969,4,3072,64,0.489197376856439,xavier,0.008463984674888887,PRUNED
88,88,13.6125954048408,2024-04-04 13:31:18.833302,2024-04-04 13:31:29.056605,0 days 00:00:10.223303,8,2560,96,0.46198726292765757,eye,0.0006153520908943922,PRUNED
89,89,54.296264237323996,2024-04-04 13:31:29.057605,2024-04-04 13:31:39.212519,0 days 00:00:10.154914,8,6144,64,0.5543038777934427,xavier,0.00040309382388823345,PRUNED
90,90,54.33515773385708,2024-04-04 13:31:39.213520,2024-04-04 13:31:49.684253,0 days 00:00:10.470733,8,5120,32,0.3845722323588035,kaiming,0.001030786915982674,PRUNED
91,91,1.108441200840737,2024-04-04 13:31:49.685254,2024-04-04 13:36:50.406999,0 days 00:05:00.721745,8,1536,64,0.40763133579293265,xavier,0.0027505912427737214,COMPLETE
92,92,54.30250798937556,2024-04-04 13:36:50.409001,2024-04-04 13:37:00.724504,0 days 00:00:10.315503,8,1024,64,0.41222841754078016,xavier,0.002512170889055587,PRUNED
93,93,9.45038519962629,2024-04-04 13:37:00.725505,2024-04-04 13:42:00.303032,0 days 00:04:59.577527,8,1536,64,0.44168964893506085,xavier,0.0037346777164936344,COMPLETE
94,94,54.31736998745909,2024-04-04 13:42:00.304033,2024-04-04 13:42:10.517545,0 days 00:00:10.213512,8,2048,64,0.31764717081990657,xavier,0.0018265266118441946,PRUNED
95,95,11.331057065020428,2024-04-04 13:42:10.518547,2024-04-04 13:42:20.824077,0 days 00:00:10.305530,8,2048,64,0.3548319802124758,default,0.0015767691926788746,PRUNED
96,96,54.29112833400552,2024-04-04 13:42:20.825079,2024-04-04 13:42:30.139540,0 days 00:00:09.314461,6,512,64,0.5203772587157378,xavier,0.002115325084144624,PRUNED
97,97,6.898671235706257,2024-04-04 13:42:30.140540,2024-04-04 13:48:06.354834,0 days 00:05:36.214294,8,7680,96,0.41487685382999545,xavier,0.002673093716541369,COMPLETE
98,98,53.80668899042979,2024-04-04 13:48:06.355835,2024-04-04 13:48:16.397357,0 days 00:00:10.041522,8,1536,64,0.49823538481253493,default,0.0008057974816789186,PRUNED
99,99,12.613993396963123,2024-04-04 13:48:16.398358,2024-04-04 13:48:26.694145,0 days 00:00:10.295787,8,3072,64,0.28315287736286465,eye,0.004568325083293865,PRUNED
